ResponseID,MissionUndefinedLikelihood,MisalignedMissionLikelihood,NoSocialImpactLikelihood,LaidOffEmployees,ExpectedSalary3Years,ExpectedSalary5Years
800,No,"Will NOT work for them",6,No,>50k,"131k to 150k"
801,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
802,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
803,No,"Will NOT work for them",4,No,>50k,">151k"
804,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","16k to 20k","91k to 110k"
805,Yes,"Will work for them",10,Yes,>50k,">151k"
806,Yes,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","111k to 130k"
807,No,"Will NOT work for them",7,No,>50k,">151k"
808,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
809,No,"Will NOT work for them",1,Yes,"31k to 40k","50k to 70k"
810,No,"Will work for them",9,Yes,"31k to 40k","91k to 110k"
811,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","16k to 20k","111k to 130k"
812,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
813,No,"Will NOT work for them",5,No,"26k to 30k","91k to 110k"
814,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
815,No,"Will work for them",5,No,"31k to 40k","91k to 110k"
816,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
817,No,"Will NOT work for them",7,No,"16k to 20k","71k to 90k"
818,Yes,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
819,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
820,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
821,No,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
822,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
823,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
824,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
825,Yes,"Will work for them",5,No,"31k to 40k","50k to 70k"
826,No,"Will NOT work for them",1,No,>50k,">151k"
827,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
828,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","131k to 150k"
829,No,"Will NOT work for them",8,No,"41k to 50k",">151k"
830,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
831,No,"Will NOT work for them",7,No,"31k to 40k","50k to 70k"
832,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
833,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
834,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
835,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
836,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
837,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
838,Yes,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
839,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
840,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
841,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
842,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","11k to 15k","71k to 90k"
843,No,"Will NOT work for them",8,Yes,"26k to 30k","91k to 110k"
844,No,"Will NOT work for them",2,No,"21k to 25k","111k to 130k"
845,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
846,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
847,No,"Will NOT work for them",1,No,"31k to 40k","91k to 110k"
848,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
849,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","26k to 30k","30k to 50k"
850,No,"Will NOT work for them",5,"I have NO other choice","26k to 30k","91k to 110k"
851,Yes,"Will work for them",10,Yes,"41k to 50k","111k to 130k"
852,No,"Will NOT work for them",1,No,>50k,">151k"
853,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
854,No,"Will work for them",7,No,>50k,">151k"
855,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
856,Yes,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","11k to 15k","111k to 130k"
857,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
858,No,"Will NOT work for them",4,No,"16k to 20k","91k to 110k"
859,Yes,"Will NOT work for them",6,"I have NO other choice","31k to 40k","131k to 150k"
860,No,"Will NOT work for them",10,"I have NO other choice","41k to 50k","91k to 110k"
861,Yes,"Will NOT work for them",7,No,"31k to 40k","111k to 130k"
862,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
863,No,"Will NOT work for them",3,No,"21k to 25k","91k to 110k"
864,No,"Will NOT work for them",5,No,"31k to 40k","91k to 110k"
865,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
866,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
867,Yes,"Will NOT work for them",5,No,"26k to 30k","71k to 90k"
868,Yes,"Will work for them",1,Yes,"21k to 25k","71k to 90k"
869,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
870,Yes,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
871,No,"Will NOT work for them",6,No,"41k to 50k","71k to 90k"
872,No,"Will NOT work for them",1,No,"21k to 25k","91k to 110k"
873,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
874,Yes,"Will work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
875,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
876,Yes,"Will NOT work for them",10,No,"16k to 20k","50k to 70k"
877,No,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
878,No,"Will NOT work for them",1,No,"26k to 30k","71k to 90k"
879,Yes,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
880,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
881,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
882,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
883,No,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
884,Yes,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","16k to 20k","30k to 50k"
885,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
886,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
887,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
888,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","5K to 10K","71k to 90k"
889,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
890,No,"Will NOT work for them",3,Yes,>50k,"91k to 110k"
891,Yes,"Will NOT work for them",5,No,"41k to 50k","71k to 90k"
892,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
893,Yes,"Will NOT work for them",3,No,>50k,">151k"
894,Yes,"Will work for them",3,Yes,"26k to 30k","50k to 70k"
895,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
896,No,"Will NOT work for them",1,"I have NO other choice","11k to 15k","71k to 90k"
897,Yes,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
898,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
899,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
900,No,"Will NOT work for them",7,No,>50k,">151k"
901,No,"Will NOT work for them",1,No,"26k to 30k","91k to 110k"
902,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
903,No,"Will NOT work for them",1,No,"31k to 40k","71k to 90k"
904,No,"Will work for them",7,"I have NO other choice",>50k,">151k"
905,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
906,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","111k to 130k"
907,Yes,"Will NOT work for them",3,No,>50k,">151k"
908,No,"Will NOT work for them",8,"I have NO other choice","26k to 30k","71k to 90k"
909,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
910,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","11k to 15k","71k to 90k"
911,Yes,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
912,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
913,No,"Will NOT work for them",7,No,>50k,"91k to 110k"
914,Yes,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
915,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
916,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
917,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
918,No,"Will NOT work for them",9,"I have NO other choice","31k to 40k","91k to 110k"
919,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
920,No,"Will NOT work for them",6,No,"21k to 25k","91k to 110k"
921,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
922,No,"Will work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
923,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
924,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
925,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
926,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k",">151k"
927,No,"Will NOT work for them",4,"I have NO other choice","21k to 25k","71k to 90k"
928,No,"Will NOT work for them",8,Yes,"21k to 25k","50k to 70k"
929,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
930,No,"Will work for them",1,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
931,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
932,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
933,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
934,No,"Will work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
935,No,"Will NOT work for them",5,"I have NO other choice","31k to 40k","50k to 70k"
936,No,"Will NOT work for them",3,No,>50k,"131k to 150k"
937,No,"Will NOT work for them",6,Yes,"26k to 30k","50k to 70k"
938,No,"Will NOT work for them",7,"I have NO other choice",>50k,">151k"
939,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
940,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
941,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","30k to 50k"
942,Yes,"Will work for them",3,"I have NO other choice",>50k,">151k"
943,Yes,"Will NOT work for them",7,"I have NO other choice","31k to 40k","131k to 150k"
944,Yes,"Will NOT work for them",9,Yes,"21k to 25k","111k to 130k"
945,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
946,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
947,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
948,Yes,"Will NOT work for them",6,No,"26k to 30k","71k to 90k"
949,No,"Will NOT work for them",2,No,>50k,"111k to 130k"
950,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
951,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
952,Yes,"Will work for them",5,No,>50k,">151k"
953,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
954,No,"Will work for them",10,Yes,>50k,"71k to 90k"
955,No,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
956,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
957,No,"Will NOT work for them",5,No,"41k to 50k","131k to 150k"
958,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
959,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
960,No,"Will work for them",1,Yes,"26k to 30k","71k to 90k"
961,No,"Will NOT work for them",9,No,"26k to 30k","50k to 70k"
962,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
963,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
964,No,"Will NOT work for them",1,No,"21k to 25k","111k to 130k"
965,No,"Will NOT work for them",3,No,"31k to 40k","71k to 90k"
966,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
967,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
968,Yes,"Will work for them",5,No,"31k to 40k","131k to 150k"
969,Yes,"Will work for them",2,Yes,"11k to 15k","30k to 50k"
970,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
971,No,"Will NOT work for them",5,"I have NO other choice","26k to 30k","91k to 110k"
972,No,"Will NOT work for them",7,Yes,"21k to 25k","50k to 70k"
973,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
974,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
975,No,"Will NOT work for them",7,"I have NO other choice","16k to 20k","50k to 70k"
976,Yes,"Will work for them",8,Yes,"26k to 30k","50k to 70k"
977,No,"Will NOT work for them",7,No,"21k to 25k","50k to 70k"
978,No,"Will NOT work for them",7,Yes,"31k to 40k","91k to 110k"
979,No,"Will NOT work for them",1,Yes,"26k to 30k","131k to 150k"
980,No,"Will NOT work for them",1,No,"26k to 30k","50k to 70k"
981,No,"Will NOT work for them",5,Yes,>50k,">151k"
982,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
983,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
984,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","131k to 150k"
985,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
986,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
987,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
988,No,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
989,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
990,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
991,No,"Will NOT work for them",5,No,"26k to 30k","71k to 90k"
992,No,"Will NOT work for them",8,No,"16k to 20k","71k to 90k"
993,No,"Will NOT work for them",7,No,"21k to 25k","111k to 130k"
994,No,"Will NOT work for them",4,No,>50k,">151k"
995,Yes,"Will NOT work for them",8,"I have NO other choice","5K to 10K","30k to 50k"
996,Yes,"Will work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
997,No,"Will NOT work for them",2,No,>50k,">151k"
998,No,"Will NOT work for them",7,"I have NO other choice","26k to 30k","30k to 50k"
999,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1000,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1001,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1002,No,"Will NOT work for them",5,No,>50k,"91k to 110k"
1003,No,"Will NOT work for them",3,No,"26k to 30k","91k to 110k"
1004,No,"Will NOT work for them",2,No,>50k,"71k to 90k"
1005,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1006,No,"Will NOT work for them",4,"I have NO other choice","41k to 50k","71k to 90k"
1007,No,"Will NOT work for them",8,"I have NO other choice","16k to 20k","50k to 70k"
1008,Yes,"Will NOT work for them",7,No,"41k to 50k","71k to 90k"
1009,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
1010,No,"Will NOT work for them",2,No,>50k,"91k to 110k"
1011,No,"Will NOT work for them",7,"I have NO other choice","31k to 40k","71k to 90k"
1012,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"71k to 90k"
1013,No,"Will NOT work for them",5,No,"41k to 50k","131k to 150k"
1014,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
1015,No,"Will work for them",6,Yes,"41k to 50k","131k to 150k"
1016,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1017,No,"Will NOT work for them",4,Yes,"41k to 50k","111k to 130k"
1018,Yes,"Will work for them",5,No,"31k to 40k",">151k"
1019,Yes,"Will NOT work for them",8,No,"41k to 50k","131k to 150k"
1020,No,"Will NOT work for them",1,No,"5K to 10K","71k to 90k"
1021,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1022,Yes,"Will work for them",7,"I have NO other choice","31k to 40k","91k to 110k"
1023,No,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1024,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
1025,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1026,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1027,Yes,"Will work for them",8,No,>50k,"71k to 90k"
1028,No,"Will NOT work for them",5,No,>50k,"91k to 110k"
1029,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1030,No,"Will work for them",8,No,>50k,">151k"
1031,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1032,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","5K to 10K","50k to 70k"
1033,No,"Will NOT work for them",8,Yes,"41k to 50k","91k to 110k"
1034,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1035,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1036,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1037,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","21k to 25k","30k to 50k"
1038,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","11k to 15k","71k to 90k"
1039,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1040,No,"Will NOT work for them",8,No,"11k to 15k","50k to 70k"
1041,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1042,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1043,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1044,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1045,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","21k to 25k","131k to 150k"
1046,Yes,"Will NOT work for them",8,Yes,"11k to 15k","50k to 70k"
1047,No,"Will work for them",1,"Yes, I Understand this is gonna happen everywhere","5K to 10K","30k to 50k"
1048,Yes,"Will NOT work for them",8,No,"31k to 40k","30k to 50k"
1049,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1050,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1051,No,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1052,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1053,No,"Will NOT work for them",1,No,"41k to 50k","91k to 110k"
1054,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1055,No,"Will NOT work for them",5,No,"31k to 40k","91k to 110k"
1056,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1057,No,"Will NOT work for them",10,"I have NO other choice","41k to 50k",">151k"
1058,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1059,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1060,No,"Will NOT work for them",6,"I have NO other choice","41k to 50k",">151k"
1061,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1062,No,"Will NOT work for them",5,"I have NO other choice","41k to 50k","71k to 90k"
1063,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","11k to 15k","50k to 70k"
1064,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1065,No,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k",">151k"
1066,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1067,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1068,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1069,No,"Will NOT work for them",5,No,"21k to 25k","71k to 90k"
1070,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1071,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1072,No,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1073,Yes,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1074,Yes,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1075,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1076,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1077,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1078,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1079,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
1080,Yes,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1081,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","111k to 130k"
1082,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1083,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1084,No,"Will NOT work for them",3,No,"26k to 30k","111k to 130k"
1085,No,"Will NOT work for them",8,No,"31k to 40k","111k to 130k"
1086,No,"Will NOT work for them",1,No,"11k to 15k","50k to 70k"
1087,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1088,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1089,No,"Will NOT work for them",5,No,"21k to 25k","71k to 90k"
1090,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1091,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
1092,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1093,No,"Will NOT work for them",7,Yes,"26k to 30k","71k to 90k"
1094,Yes,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1095,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1096,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
1097,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1098,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1099,No,"Will NOT work for them",8,No,"41k to 50k","50k to 70k"
1100,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
1101,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
1102,Yes,"Will work for them",10,Yes,"41k to 50k","91k to 110k"
1103,No,"Will NOT work for them",5,"I have NO other choice","41k to 50k","30k to 50k"
1104,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1105,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1106,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1107,No,"Will NOT work for them",1,No,"31k to 40k","71k to 90k"
1108,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1109,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1110,Yes,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","16k to 20k","30k to 50k"
